Obs,ring,doy,CO2,block,true_ten,true_twenty,true_thirty,true_forty,true_fifty,true_sixty,true_seventy,start_ten,start_twenty,start_thirty,start_forty,start_fifty,start_sixty,start_seventy
124,29,179,550,3,28.3518,33.7225,37.7992,40.8869,43.7596,43.9917,43.8675,26.1874,38.1529,40.5462,42.0713,43.8015,45.0945,44.0785
125,25,184,370,3,27.8648,32.8206,35.6653,41.219,44.706,45.1416,44.1526,30.2058,40.8893,42.5284,44.3263,45.0008,45.8514,44.979
126,29,184,550,3,25.6514,30.3938,34.9019,39.265,43.1586,43.9303,43.984,26.1874,38.1529,40.5462,42.0713,43.8015,45.0945,44.0785
127,25,187,370,3,34.4709,36.889,37.5065,40.9754,44.5559,45.0251,44.049,30.2058,40.8893,42.5284,44.3263,45.0008,45.8514,44.979
128,29,187,550,3,33.4917,33.2825,36.016,39.6939,42.8742,43.7328,43.7705,26.1874,38.1529,40.5462,42.0713,43.8015,45.0945,44.0785
129,25,189,370,3,31.1926,35.072,36.3157,39.9731,44.0482,44.6066,43.7575,30.2058,40.8893,42.5284,44.3263,45.0008,45.8514,44.979
130,29,189,550,3,29.5798,32.0479,35.3046,39.1231,42.6934,43.4497,43.5298,26.1874,38.1529,40.5462,42.0713,43.8015,45.0945,44.0785
131,25,194,370,3,41.9001,43.9331,43.0128,44.5369,45.7397,45.6806,44.4672,30.2058,40.8893,42.5284,44.3263,45.0008,45.8514,44.979
132,29,194,550,3,40.5667,41.6337,40.235,41.2243,43.6282,44.1224,44.0053,26.1874,38.1529,40.5462,42.0713,43.8015,45.0945,44.0785
133,25,198,370,3,37.8961,42.9413,42.8588,44.1659,45.4033,45.5012,44.2373,30.2058,40.8893,42.5284,44.3263,45.0008,45.8514,44.979
134,29,198,550,3,35.0953,39.9303,39.686,40.9069,43.2637,43.7579,43.7372,26.1874,38.1529,40.5462,42.0713,43.8015,45.0945,44.0785
135,25,200,370,3,35.1632,41.4001,42.3403,44.2542,45.2015,45.3672,44.5433,30.2058,40.8893,42.5284,44.3263,45.0008,45.8514,44.979
136,29,200,550,3,31.7815,38.3403,39.2252,40.7018,43.1749,43.7587,43.6762,26.1874,38.1529,40.5462,42.0713,43.8015,45.0945,44.0785
137,25,202,370,3,38.8367,42.7943,42.6072,44.0715,45.078,45.0999,43.904,30.2058,40.8893,42.5284,44.3263,45.0008,45.8514,44.979
138,29,202,550,3,36.1714,38.7155,39.1869,40.4941,42.8849,43.539,43.4195,26.1874,38.1529,40.5462,42.0713,43.8015,45.0945,44.0785
139,25,206,370,3,36.5526,42.5086,42.5754,43.982,44.9939,45.1532,43.8053,30.2058,40.8893,42.5284,44.3263,45.0008,45.8514,44.979
140,29,206,550,3,33.2875,38.3883,38.8861,40.2892,42.7921,43.3138,43.3069,26.1874,38.1529,40.5462,42.0713,43.8015,45.0945,44.0785
141,25,209,370,3,41.7994,44.278,43.432,44.9551,45.9874,45.8929,44.6931,30.2058,40.8893,42.5284,44.3263,45.0008,45.8514,44.979
142,29,209,550,3,40.4986,42.0392,40.9255,42.3181,44.3379,44.5183,44.1595,26.1874,38.1529,40.5462,42.0713,43.8015,45.0945,44.0785
143,25,212,370,3,39.8106,43.6303,43.2769,44.8925,45.7968,45.9673,44.6748,30.2058,40.8893,42.5284,44.3263,45.0008,45.8514,44.979
144,29,212,550,3,38.3733,41.404,40.8882,42.4905,44.7887,44.7284,44.42,26.1874,38.1529,40.5462,42.0713,43.8015,45.0945,44.0785
145,25,214,370,3,38.1157,43.1442,43.2921,44.7978,45.7693,45.8789,44.932,30.2058,40.8893,42.5284,44.3263,45.0008,45.8514,44.979
146,29,214,550,3,35.9569,40.7633,40.7137,42.3404,44.4762,44.5305,44.1617,26.1874,38.1529,40.5462,42.0713,43.8015,45.0945,44.0785
147,25,216,370,3,34.2287,42.1119,43.0039,44.611,45.4367,45.6493,44.4561,30.2058,40.8893,42.5284,44.3263,45.0008,45.8514,44.979
148,29,216,550,3,33.0459,39.4707,40.1089,41.8557,43.9659,44.1265,43.8423,26.1874,38.1529,40.5462,42.0713,43.8015,45.0945,44.0785
149,25,224,370,3,40.399,42.5951,42.2799,43.8483,44.5889,44.6315,43.4656,30.2058,40.8893,42.5284,44.3263,45.0008,45.8514,44.979
150,29,224,550,3,38.6294,39.9508,39.4154,40.9224,43.1138,43.178,42.7638,26.1874,38.1529,40.5462,42.0713,43.8015,45.0945,44.0785
151,25,227,370,3,38.8565,42.5528,42.4507,43.8285,44.6964,44.459,43.0313,30.2058,40.8893,42.5284,44.3263,45.0008,45.8514,44.979
152,29,227,550,3,37.4518,39.7299,39.4838,41.1174,43.0538,43.8486,43.4156,26.1874,38.1529,40.5462,42.0713,43.8015,45.0945,44.0785
153,25,229,370,3,37.2341,42.2654,42.3411,43.5842,44.3754,44.1916,42.6211,30.2058,40.8893,42.5284,44.3263,45.0008,45.8514,44.979
154,29,229,550,3,34.7085,38.7571,39.1414,40.5877,42.7261,42.8066,42.5907,26.1874,38.1529,40.5462,42.0713,43.8015,45.0945,44.0785
155,25,233,370,3,40.6386,42.4891,42.151,43.7694,44.5338,44.2314,43.1758,30.2058,40.8893,42.5284,44.3263,45.0008,45.8514,44.979
156,29,233,550,3,38.9032,40.0295,39.6877,41.0041,42.8268,42.7388,42.4007,26.1874,38.1529,40.5462,42.0713,43.8015,45.0945,44.0785
157,25,235,370,3,39.4991,42.9333,42.4625,43.849,44.6474,44.5185,42.8052,30.2058,40.8893,42.5284,44.3263,45.0008,45.8514,44.979
158,29,235,550,3,37.8204,40.2357,39.7287,41.0791,42.8875,42.7852,42.354,26.1874,38.1529,40.5462,42.0713,43.8015,45.0945,44.0785
159,25,237,370,3,38.1768,42.44,42.4132,43.6978,44.6129,44.1815,42.5293,30.2058,40.8893,42.5284,44.3263,45.0008,45.8514,44.979
160,29,237,550,3,35.9818,39.2016,39.4606,40.8079,42.6049,42.607,42.2421,26.1874,38.1529,40.5462,42.0713,43.8015,45.0945,44.0785
161,25,243,370,3,40.1833,41.6203,41.7217,43.4133,44.2717,44.1014,42.6843,30.2058,40.8893,42.5284,44.3263,45.0008,45.8514,44.979
162,29,243,550,3,38.2022,39.9358,39.4344,40.895,42.6225,42.6082,41.9069,26.1874,38.1529,40.5462,42.0713,43.8015,45.0945,44.0785
163,25,245,370,3,39.9468,42.7158,42.3627,43.7091,44.5478,44.2409,42.5119,30.2058,40.8893,42.5284,44.3263,45.0008,45.8514,44.979
164,29,245,550,3,38.0083,39.8331,39.6252,41.012,42.7447,42.6874,42.2361,26.1874,38.1529,40.5462,42.0713,43.8015,45.0945,44.0785
165,25,249,370,3,40.855,43.1161,42.4195,43.6045,44.5687,44.5423,42.8927,30.2058,40.8893,42.5284,44.3263,45.0008,45.8514,44.979
166,29,249,550,3,39.2051,40.204,39.9208,41.2211,43.072,42.8755,42.3628,26.1874,38.1529,40.5462,42.0713,43.8015,45.0945,44.0785
167,25,251,370,3,40.3458,42.9672,42.4014,43.7645,44.4756,44.4912,42.7195,30.2058,40.8893,42.5284,44.3263,45.0008,45.8514,44.979
168,29,251,550,3,38.8717,40.6999,40.0591,41.26,43.197,43.0788,42.3951,26.1874,38.1529,40.5462,42.0713,43.8015,45.0945,44.0785
169,32,165,370,4,25.9488,43.0528,42.85,43.6846,43.3507,43.1883,43.2151,25.9488,43.0528,42.85,43.6846,43.3507,43.1883,43.2151
170,28,165,550,4,25.8684,42.619,42.1764,43.5145,43.4092,44.2345,43.4929,25.8684,42.619,42.1764,43.5145,43.4092,44.2345,43.4929
171,32,167,370,4,33.1042,45.0321,43.8242,44.0185,43.8902,43.2159,44.1061,25.9488,43.0528,42.85,43.6846,43.3507,43.1883,43.2151
172,28,167,550,4,33.4252,44.5994,43.4566,43.7216,43.6871,43.9103,43.6772,25.8684,42.619,42.1764,43.5145,43.4092,44.2345,43.4929
173,32,172,370,4,33.3064,43.9779,43.2731,43.4456,43.1562,42.4136,43.7433,25.9488,43.0528,42.85,43.6846,43.3507,43.1883,43.2151
174,28,172,550,4,34.4404,44.0799,42.9715,42.9982,43.2694,43.4987,43.3105,25.8684,42.619,42.1764,43.5145,43.4092,44.2345,43.4929
175,32,174,370,4,28.644,40.7567,43.3216,43.6971,43.4908,42.7795,44.1363,25.9488,43.0528,42.85,43.6846,43.3507,43.1883,43.2151
176,28,174,550,4,29.7334,41.7167,43.1344,43.4567,43.6374,43.7796,43.7015,25.8684,42.619,42.1764,43.5145,43.4092,44.2345,43.4929
177,32,177,370,4,25.5717,36.2195,42.2955,43.3543,43.0217,42.516,43.7663,25.9488,43.0528,42.85,43.6846,43.3507,43.1883,43.2151
178,28,177,550,4,25.5337,36.9775,42.5747,42.7347,43.0849,43.2668,43.2806,25.8684,42.619,42.1764,43.5145,43.4092,44.2345,43.4929
179,32,179,370,4,25.8822,34.6076,41.1785,42.8741,42.8469,42.2435,43.6295,25.9488,43.0528,42.85,43.6846,43.3507,43.1883,43.2151
180,28,179,550,4,25.8994,36.0102,42.0318,42.448,42.9191,43.2269,43.2396,25.8684,42.619,42.1764,43.5145,43.4092,44.2345,43.4929
181,32,184,370,4,23.3478,29.7211,35.3139,40.399,42.3859,42.0534,43.6514,25.9488,43.0528,42.85,43.6846,43.3507,43.1883,43.2151
182,28,184,550,4,22.5652,29.2868,36.4812,40.3683,42.5362,43.0723,43.0882,25.8684,42.619,42.1764,43.5145,43.4092,44.2345,43.4929
183,32,187,370,4,31.1953,36.4298,39.6461,41.8072,42.3985,41.9959,43.665,25.9488,43.0528,42.85,43.6846,43.3507,43.1883,43.2151
184,28,187,550,4,29.777,36.0982,40.1989,41.2052,42.1981,42.9186,43.0342,25.8684,42.619,42.1764,43.5145,43.4092,44.2345,43.4929
185,32,189,370,4,27.6065,33.9027,37.6702,40.753,41.8252,41.7162,43.5387,25.9488,43.0528,42.85,43.6846,43.3507,43.1883,43.2151
186,28,189,550,4,26.3723,32.9641,38.2837,40.1402,41.8017,42.5724,42.8511,25.8684,42.619,42.1764,43.5145,43.4092,44.2345,43.4929
187,32,194,370,4,42.987,45.8445,43.4824,43.5718,43.5226,42.8058,44.1248,25.9488,43.0528,42.85,43.6846,43.3507,43.1883,43.2151
188,28,194,550,4,42.8484,45.2203,43.2873,43.2638,43.38,43.5102,43.4834,25.8684,42.619,42.1764,43.5145,43.4092,44.2345,43.4929
189,32,198,370,4,35.4581,44.3393,42.9833,43.1729,43.0107,42.3532,43.8164,25.9488,43.0528,42.85,43.6846,43.3507,43.1883,43.2151
190,28,198,550,4,36.1423,43.7497,43.0124,42.9086,43.1342,43.4489,43.5462,25.8684,42.619,42.1764,43.5145,43.4092,44.2345,43.4929
